Concept name,Parts
staple remover,"handle, tongue, jaw"
stapler,"hinge, base, handle, anvil, staple ejector, staple channel"
steno pads,"margin line, cover, spiral binding, lined pages"
t square,"head, blade"
desk,"shelves, drawer, leg"
document sorter holder,"racks, base"
rubber cement,"label, brush, bottle, glue, cap"
box cutter,"blade, slider, handle"
cellophane tape,"plastic core, adhesive surface"
3 hole punch,"punch head, handle, base"
composition notebooks,"front label, binding, cover"
book ends,"base, support fin"
dry wet erase board,"frame, writing surface"
pencils,"base, lead, eraser, ferrule, slot, tray, wood casing, tip"
fountain pen,"nib, cap, barrel"
blank paper,"sheet, perforation"
surge protectors,"power cord, on off switch, indicator light, sockets"
chairs,"seat pad, backrest, armrests"
safe,"dial, door handle, lock"
cellophane tape dispenser,"holder, cutter, base"
padded envelopes,"adhesive strip, seal closure"
legal envelopes,flap
dry wet erase spray,"bottle, label, nozzle, cap, trigger spray"
pen holder,"tray, divider, slot, cap, base"
masking tape,"core, adhesive surface"
telephone,"handset, keypad, cable"
mouse,"left button, scroll wheel, right button"
3 hole punch paper,punch holes
mechanical pencils,"eraser, grip, clip, barrel"
paperweight,body
graph,"title, axes, legend"
shelves,"support rails, panels, brackets, base"
ball point pen,"cap, ball tip, ink reservoir"
binders,"spine, cover"
shredder,"feed slot, power switch, waste bin"
regular envelopes,"address panel, seal, flap"
printer,"control panel, toner cartridge, paper tray, output tray"
scissors,"blades, handle, thumb ring, hinge pin, finger ring"
rubber stamps,"handle, stamp base"
desk chairs,"armrest, swivel base, backrest"
glue,"nozzle, cap, label"
pencil sharpner,"crank handle, blade, base plate, shavings container, entry hole"
microphone,"diaphragm, cable, pop filter, slot, grille, tray, base, stand, cap"
highlighters,"cap, ink resevoir, chisel tip"
protractor,"degree scale, base edge, hinge, angle arm, center point"
paper clips,coil curve
graph paper,grid
speakers,"grille, diaphragm"
keyboard,"usb cable, keypad, keys"
correction fluid,"bottle, brush, cap"
letter opener,"blade, handle"
packaging bubble,air pocket
tape measure,"case, tape, hook, lock switch, clip"
hanging hooks,"mounting bracket, metal hook"
ruler,"markings, edge"
magazine holders,"pocket, divider"
shipping boxes,"label, bottom panel, seam, flap"
packing tape,"blade, adhesive surface"
filing cabinets,"divider, handle, drawer"
waste basket,"lid, foot pedal, container"
compass,"dial, needle"
hole puncher,"handle, punch head"
marker,"grip, cap, nib"
headset,"microphone, connecting wire, ear cushion"
spiral bound notebooks,"lined pages, cover"
laptop,"keyboard, touchpad, screen"
ink pad,"hinge, foam surface, ink reservoir"
computer,"monitor, keyboard"
bulletin board,"pins, frame"
monitor,"screen, stand"
digital camera,"shutter button, flash, lens"
eraser,rubber surface
bookmarks,"tassel, clip"
sticky notes,"adhesive strip, note surface"
,
kitchen has 80 concepts,
saucer,"rim, base, glazing, well, foot ring"
bottle opener,"cap lifter, lever arm, handle"
microwave,"control panel, door handle, timer display, door release button, turntable, door"
can opener,"cutting wheel, handle, turning knob, gear"
espresso machine,"control panel, steam wand, drip tray, extraction handle"
french press,"spout, plunger knob, handle, lid, carafe, filter screen"
oven mitt,"insulated fabric, hanging loop, thumb slot, wrist cuff, non slip surface"
dish towel,"fabric texture, hanging loop, hem"
soup spoon,"tip, neck, rim, handle, bowl"
ice cream scoop,"handle, thumb lever, scoop bowl"
dish rack,"tray, divider, prong, drainage spout, rack"
dish soap dispenser,"spout, base, cap, nozzle, reservoir, pump"
immersion blender,"motor housing, power button, blade, cord, shaft, speed control button"
mug,"lid, body, base, handle, rim"
cast iron skillet,"handle, spout, cooking surface"
tea spoon,"handle, stem, bowl, rim"
kitchen sink,"basin, faucet controls, faucet, drain stopper"
salt shaker,"lids, holes, body"
oven,"handle, glass door, oven rack, control panel"
gravy boat,"handle, base, body, spout"
spatula,"head, edge, grip, handle"
wine glass,"bowl, base, stem"
saute pan,"base, lid, handle"
bowl,"base, mouth, rim"
chopsticks,"stick, grip, tip"
blender,"power cord, base, control panel, jar, lid, blade"
ladle,"spout, bowl, handle, rim, hanging hook"
serving spoon,"handle, bowl, neck, rivet, tip"
peeler,"handle, eye gouger, blade"
kitchen timer,"control button, display screen"
dinner knife,"blade, handle, tip"
tongs,"arm, handle, hinge, head"
electric coffee grinder,"hopper lid, grounds container, grind size knob, control panel, hopper, burr"
foil,"cylindrical cardboard core, cutting edge, aluminum sheet"
masher,"rubber grip, handle, frame, hanging hook, mash plate"
whisk,"tip, handle, wire loop, whisk head"
silver platter,"engraving, rim, base, surface"
stand mixer,"dough hook, splash guard, mixing bowl, wire whip, flex edge beater, speed control button"
cutting board,"surface, juice groove, handle"
can,"label, seam, body, base, lid"
food processor,"bowl, base, lid, feed tube, control panel, chopping blade"
kitchen sieve,"hanging hole, mesh screen, rim, handle"
champagne glass,"base, bowl, rim, foot, long stem"
decanter,"spout, stopper, neck, body, base"
glass pitcher,"handle, lid, spout, body, base"
faucet sprayer,"handle, spray head, hose, button, nozzle"
bottle,"cap, cylindrical body, base, neck, label"
cake stand,"rim, pedestal, plate, base"
electric kettle,"lid, handle, control panel, spout, water level indicator, power base"
muffin pan,"cavity, rim, hand grip"
slotted turner,"head, slot, handle"
toaster,"control dial, body, slot, lever"
steel wool,"steel loop, pad surface"
sauce pan,"lid, handle"
dishwasher,"detergent dispenser, door latch, filtertion system, control panel, rack"
dinner plate,"rim, foot ring, surface"
shot glass,"body, base, rim"
colander,"handles, holes, base, rim, bowl body"
teapot,"handle, infuser, lid, spout, body"
mixing bowl,"bowl body, rim, handle, base"
tea cup,"cylindrical body, rim, handle, base"
wooden spoon,"engraving, bowl, handle"
stock pot,"lid, handles, body"
coffee maker,"control panel, water tank, carafe, drip tray"
cooling rack,"raised platform, non slip feet, cross support, metal frame, wire grid"
baking sheet,"base, rim"
kitchen knife,"blade, handle, spine, tip"
dinner fork,"handle, tines, points"
pizza cutter,"guard, blade, handle"
hand mixer,"beater attachment, power cord, speed control, motor housing, handle"
bread knife,"bolster, blade, tip, serrated edge, handle"
slow cooker,"lid, control panel, handle"
air fryer,"control panel, basket handle, air vent"
ice cube tray,"handle, compartment, base"
drinking glass,"rim, base, body"
kitchen sponge,"absorbent layer, scouring pad"
dish brush,"handle, hanging hole, brush head"
pepper mill,"top knob, body, base"
refrigerator,"body, door, handles"
cheese grater,"base, handle, grating surface"
,
helicopter has 24 concepts,
medevac,"medical bay, skids, rotor blade, tail boom, cargo door"
fuselage,"engine cowling, tail boom, cabin, nose cone, landing skid, stabilizer fin"
training,"rotor blades, landing skids, control stick, tail boom, control panel, yaw string"
reconnaissance and observation,"tail boom, landing skid, rotor blades, surveillance camera, searchlight, yaw string"
fire fighting,"pump system, basket, skids, rotor blades, water tank"
escort,"rotor blades, tail boom, landing skids, cockpit windshield"
utility,"position lights, cargo sling, searchlight, tailboom, rotor head, tail rotor gearbox, rotor blade, stabilizer fin, ground handling wheels, cargo hook"
heavylift,"load stabilizer, cargo hook, cargo sling, fuel tank"
powerplant,"oil pressure gauge, turbine blades, engine intake, engine mounting frame, exhaust nozzle, engine cowling"
attack,"turbine blades, rotor blade, missile launcher, tail boom, landing skid, machine gun, cockpit"
sightseeing,"rotor blades, windshield wiper, landing gear, windows, fuselage"
law enforcement,"communication antenna, spotlight, rescue hoist, search camera"
transport,"fuselage, landing skid, tail boom, rotor blade, position lights, ground handling wheels, windshield wiper, cargo hook"
corporate transport,"rotor blade, fire extinguisher, passenger seat, windshield wiper, cockpit, fuselage, landing gear"
fuel system,"fuel pump, fuel gauge"
helitanker,"water tank, high pressure nozzle, pumping system"
anti submarine,"dipping sonar, sonobuoy launcher, tactical display"
cargo,"tail boom, landing skids, rotor blades, cargo sling, cargo hook, fuselage"
vip transport,"panoramic window, luxury seat, windshield wiper, soundproof panel"
maritime,"landing gear, rotor blade, fuselage, tail boom"
event broadcasting,"broadcast equipment rack, antenna array, broadcast camera mount, landing gear"
special ops,"tail rotor, winch, armored fuselage, rotor blade"
oil & gas support,"cargo hook, winch, tail rotor"
offshore,"rotor blades, landing gear"
,
tools has 71 concepts,
scroll saw,"arm, table, blade, dust port"
pyrography tool,"woodburning tip, handle, temperature knob, power cord"
belt sander,"dust bag, abrasive belt, handle, drum"
linoleum knife,"blade, handle"
electric planer,"handle, power switch, shoe, trigger, depth adjustment knob, blade housing"
compact router,"collet, motor, base, power switch"
flat head screwdriver,"shaft, handle, tip"
head knife,"handle, blade"
ball peen hammer,"neck, head, handle, peen, face"
sledgehammer,"handle, head"
tape measure,"locking mechanism, tape, hook"
power drill,"forward reverse button, chuck, handle, battery, motor, gear case, trigger"
circular saw,"bed, blade, handle, guard, motor"
staple gun,"safety lock, frame, trigger, handle"
paper cutter,"base, guard, blade, handle, arm"
letter opener,"blade, handle, tip"
trigger clamp,"jaws, trigger, bar, movable arm, release lever, handle"
prybar,"shaft, heel, tip, claw"
radial arm saw,"handle, motor, arm, table, blade"
lockback knife,"pivot, blade, handle, locking mechanism"
brad nailer,"tip, handle, magazine, trigger"
orbital sander,"sanding pad, dust bag, power cord, power switch"
jigsaw,"handle, lock mechanism, trigger, motor, blade, shoe"
c clamp,"frame, swivel head, screw, sliding handle"
gavel,"handle, head, face"
scalpel,"blade, handle"
phillips head screwdriver,"handle, shaft, tip"
combination wrench,"box end, open end, shaft"
utility knife,"blade, locking mechanism, slider, handle"
adjustable wrench,"jaw, thumbwheel, handle"
vise,"handle, base, slide, jaw"
spindle sander,"table, sanding drum, power switch, spindle, throat plate, base"
locking plier,"spring, handle, jaw, pivot"
rotary tool,"collet, power switch, handle, locking mechanism, ventilation slots"
panel saw,"guard, frame, handle, blade"
shop vacuum,"motor, nozzle, hose, wheels, tank"
geologist hammer,"head, face, pick, handle"
straight razor,"shank, pivot, tang, blade, handle"
claw hammer,"claw, handle, face"
hacksaw,"frame, adjustment screw, blade, handle"
bolt cutter,"blade, hinge, handle"
manual hand drill,"handle, drive wheel, chuck, crank"
drill press,"table, power switch, chuck, crank, column, base"
spring clamp,"jaw, pivot, spring, handle"
mitre saw,"fence, guard, dust port, power switch, miter scale, base, blade, handle"
slip joint plier,"handle, jaw, pivot, adjustment slot"
axe,"blade, eye, handle"
open end wrench,"open end, shaft"
woodworking lathe,"headstock, tool rest, chuck, tailstock"
band saw,"motor, power switch, blade, table, miter gauge, frame"
swiss army knife,"corkscrew, tweezers, bottle opener, blade, scissors"
needle nose plier,"handle, jaws, pivot, cutters"
palette knife,"blade, handle, neck"
hand saw,"blade, teeth, handle"
socket wrench,"handle, socket, drive gear, socket release button"
mallet,"handle, head"
air compressor,"tank, motor, pressure gauge"
caliper,"scale, thumbwheel, jaws, depth bar, locking screw"
table saw,"fence, miter gauge, blade, table, power switch"
striking wrench,"handle, striking face, box end"
hatchet,"handle, butt, blade, eye"
multitool,"blade, pliers, screwdriver, locking mechanism, handle, file"
tin snips,"handle, blades, pivot, lock mechanism"
hand file,"handle, blade"
anvil,"horn, body, base, hardy hole, face"
chisel,"blade, ferrule, handle"
level,"bubble, vial, end caps"
surform,"blade, frame, handle"
allen wrench,"long arm, short arm"
lug wrench,"pivot, crossbar, socket, handle"
sandpaper,abrasive surface
,
geography has 71 concepts,
field,"fence, plant row, irrigation pipe, water trough, water tower, scarecrow"
city street,"streetlight, bike lane, curb, sidewalk, crosswalk"
road,"sidewalk, signage, shoulder, crosswalk, pavement, median, guardrail, bike lane"
village,"school, tent, water well, market square, village hall, fire pit, church"
savanna,"sandy soil, grass, scattered tree"
river,"tributary, estuary"
cliff,"ledge, face, base"
reservoir,"slope, gate, crest, dam, plunge pool, spillway"
town map,"legend, railway line, street name, building, bus stop, scale bar, park, river, landmark"
garden,"lawn, tree, fountain, hedge, pond, flower, pathway"
lake map,"compass rose, fishing point, contour line, scale bar, depth legend, lake shoreline, water"
estuary,"ocean coastline, river, river bank"
canal,"bank, waterway, port"
highway map,"overpass, legend, roadway, scale bar, intersection, exit ramp, service area"
cave,"chamber, stalactite, entrance, passage"
city,"river, landmark, airport, railway line, city hall, shopping mall, park, skyscraper, street network, plaza, subway station, bridge"
tundra,"moss, permafrost, shrub"
river map,"river course, legend, river source, tributary label, compass rose, scale indicator"
pinnacle,"base, side, peak"
mesa,"steep side, flat top"
roadmap,"intersection, compass rose, legend, scale, highway"
town,"fire station, town hall, landmark, park, library, community center, square, river, bus stop, street name"
city map,"airport, park, building, street network, bus stop, legend, scale bar, river, railway line, landmark"
volcano,"vent, lava flow, crater, ash cloud, magma chamber"
karst,"spring, rugged terrain, stalactite, cave, stalagmite"
village map,"building, legend, street name, scale bar"
creek,"bank, stream, stream bed"
terrace,"tread, crop, backrest"
map of sea,"compass rose, contour line, current pattern, coastline, island, depth contour, depth legend, shipping route, legend, scale bar"
plains,"farm, grassland, waterway"
fjord,"cliff, sea inlet"
canyon,"cliff, river bed"
map of ocean,"legend, contour line, compass rose, scale bar, shipping route, island, depth contour, current pattern, depth legend, coastline"
sinkhole,"surface depression, void, collapse zone"
salt,"salt crust, dry lakebed"
gorge,"precipice, narrow passage, cliff, riverbed"
lagoon,"sandbar, barrier island, reef"
desert,"sand dune, cactus, oasis"
port,"warehouse, ship, dock, container"
city street map,"legend, compass rose, street name, scale bar, grid line"
lake,"inlet, fishing point, shoreline, water surface, basin"
swamp,"mud flat, cypress tree, reed"
marsh,"rush, reed, grass, wet soil"
glacier,"moraine, crevasse, icefall, ice cave, valley, serac"
plateau,"frozen soil, volcanic plateau, intermontane plateau"
rocky,"cliff, rugged terrain, canyon, boulder, peak"
valley,"mountain, cliff, slopes, gorge, ridge, riverbed, floodplain"
airport,"aircraft, airstrip, control tower, terminal"
highway,"exit ramp, median barrier, service area, toll, emergency lane, sound barrier"
delta,"delta front, plain, river"
wetland,"lake, pond, reed, hydric soil"
hot spring,"pool, stream, steam"
polder,"land, drainage channel, dike"
ocean,"reef, seamount, island, coastline"
arroyo,"sand, streambed"
sea,"reef, seamount, island, coastline"
mountain,"landmark, base, peak, cliff, forest, ridge, slope"
park,"picnic table, walking path, lawn, playground, fountain, bench"
atoll,island
waterfall,"plunge pool, crest, cliff"
sand,"beach, dune, desert"
forest,"flower, tree, canopy, forest floor, fungi, root"
loam,soil
bay,"land, water, entrance"
camp ground,"grill, fire pit, tent, picnic table"
basin,"drainage basin, main river"
dike,"crest, slope"
oxbow lake,"meander loop, cutoff point"
sidewalk,"drain cover, street tree, pavement"
butte,"isolated hill, steep sides, flat top"
clay,"erosion, soil"
,
garden has 52 concepts,
machete,"handle, blade, tip"
scythe,"ferrule, handle, grip, blade"
watering can,"rose, handle, spout, container"
garden trowel,"handle, neck, blade"
dibber,"handle, shaft, measuring increment, pointed tip"
loppers,"handle, buffer, blade, bolt"
leaf rake,"handle, head, tines, shaft"
sickle,"handle, blade"
sprinkler,"nozzle, base, spray arms, water inlet, rotor head"
stand up weed puller,"shaft, claw, handle, foot pedal"
plant stake,"anchor, stake"
hose,"spray head, flow control knob, trigger, grip handle"
leaf blower,"blower tube, engine, handle"
seed spreader,"handle, rotor, deflector, motor, hopper, spinner disk, wheel"
rotary cultivator,"blade, rotor, gearbox"
aerating fork,"handle, foot pedal, tines"
hedge shears,"blade, bolt, handle, buffer"
compost tumbler,"drinage vent, aeration vent, handle, drum, lid"
grafting tool,"lock, spring, scissors, handle"
spade,"blade, handle, footstep, grip"
garden clip,"spring, hinge, arm"
fruit picker,"basket, rod"
debris shredder,"hopper, knives, support frame"
wheelbarrow,"wheel, shaft, handle, axle, tray"
fertilizer injector,"connector, spray tip, body"
shovel,"handle, footstep, blade"
broadforks,"handle, tines, foot pedal"
half moon edger,"half moon blade, handle, foot plate, shaft"
insect trap,"body, entry point"
bokashi bin,"lid, faucet, bin"
hand weeder,"blade, handle, curved base, shaft"
garden hose,"coupling, on off valve, nozzle, rubber tube, pressure regulator"
hand cultivator,"tines, handle, connecting bolt"
push mower,"handle, grass catcher, engine, height adjustment, wheel, deck"
sprayer,"tank, trigger, nozzle, hose"
path leveler,"hitch, frame, skid, handle, blade"
post hole digger,"handle, blade, hinge joint"
gardening gloves,"non slip grip, sleeve"
drip irrigation system,"filter, valve, tube"
garden tie,"twine, clip"
hand rake,"tines, spine, handle"
straight rake,"handle, head, tines"
garden fork,"ferrule, handle, tines"
pitchfork,"tines, handle, neck"
bulb planter,"handle, shaft, foot pedal"
garden light,"stake, bulb"
pruning shears,"blade, locking mechanism, spring, handle"
plant cage,"rings, stake, joint"
humidity tray,"stone, tray"
manual reel mower,"reel cutting blade, height adjustment lever, wheel, push handle"
auger,"handle, blade"
hoe,"blade, hinge joint, handle"
,
vehicles has 47 concepts,
moving van,"cabin, tires, mirrors, cargo area, side door, tailgate"
trike cycle,"seat, wheel, pedal, handlebar, frame"
armoured truck,"turret mount, bulletproof glass, armored body panels, tires, reinforced doors"
scooter,"tires, handlebars, deck"
sedan,"trunk, headlight, door, hood"
touring bicycles,"pedals, handlebars, saddle, bag, frame"
semi trailer,"cargo area, bed, tires, windshield, headlight"
grader,"cabin, scarifier, rear view mirror, blade"
minivan,"cargo area, sliding door, tires"
bulldozer,"ripper, cabin, crawler tracks, blade"
front end loader,"bucket, tires, cabin, loader arms"
passenger van,sliding door
crane,"cabin, stabilizer leg, counterweight, boom, hook"
road motorcycle,"suspension, handlebars, seats, exhaust pipe, fuel tank, knobby tires"
excavator,"bucket, boom, undercarriage"
coupe,"headlight, sunroof, tires"
unicycle,"saddle, pedals, frame"
tandem,"frame, double saddle, chain, handlebars, pedals, tires"
mopeds,"seats, foot pegs, tires, mirrors, handlebars, turn signals"
ambulance,"cabin, siren, emergency light, stretcher"
back hoe,"cabin, bucket, stabilizer leg, stick, boom"
personnel carrier,"hatch, armor plating, turret mount, tires"
dirt bicycle,"seats, handlebars, knobby tires, frame, pedals"
track bicycle,"chainring, tires, handlebars, frame, saddle, pedals"
off road,"all terrain tires, cabin, headlight"
racing car,"spoiler, diffuser, slick tire, mirrors"
convertible,"tires, bucket seats, soft top"
wagon,"tailgate, sideboard, tires"
dirt motorcycle,"fuel tank, knobby tires, handlebars, seats, suspension, exhaust pipe"
fork lift,"overhead guard, counterweight, tires, mast, forks"
trencher,"crawler tracks, slick tires, cabin, conveyor belt, digging chain, boom arm"
fire,"ladder, water pump, siren, tires, red outlook"
tank,"barrel, turret mount, crawler tracks"
road bicycle,"paddle, tires, brake lever, handlebars, frame, saddle, chain"
missile truck,"cabin, launch platform"
sports car,"tires, spoiler, bucket seats, bumper"
tricycle,"frame, pedals, tires, seats, handlebar"
suv,"bumper, tires"
dump,"cabin, tires, payload bed, tailgate"
hatch back,"tailgate, rear wiper"
all terrain,"winch, off road tire"
flat bed,"load bed, headboard"
compactor,"trailing wheel, compaction drum, cabin"
pick up,"tires, running board, bumper, bed, headlight"
refrigerator,condenser
tractor,"steering wheel, cabin, tires, bucket"
tankers,"outlet valve, ladder"
,
weapons has 26 concepts,
boomerang,"trailing edge, leading edge"
bow and arrow,"riser, arrowhead, nock, bowstring, fletching"
quarterstaff,"grip, shaft, tip, end cap"
rifle,"stock, magazine, trigger, scope, barrel"
icbm,"guidance system, rocket motor, warhead, fuel tank, reentry vehicle"
pistol,"grip, trigger, magazine, hammer, sight, barrel"
knife,"blade, hilt, tip, handle, spine"
bazooka,"barrel, trigger, sight, shoulder pad, launch tube, grip"
sub machine gun,"barrel, trigger, magazine"
torpedo,"fin, propeller, guidance system, warhead, fuel tank"
crossbow,"limbs, bolt, string, trigger, stock, barrel"
dagger,"edge, hilt, handle, blade, guard"
submarine missile,"fuel tank, guidance system, warhead"
revolver,"trigger, sight, grip, barrel, hammer, cylinder"
bayonet,"scabbard, blade, handle, locking ring, guard"
sword,"blade, hilt, pommel, guard"
club,"handle, head, spike"
bombs,casing
hand guns,"barrel, hammer, grip, trigger, sight, magazine"
grenade,"lever, body, safety pin"
abm,"propulsion system, radar homing system, warhead"
tomahawk,"handle, blade, tang, edge"
mines,"pressure plate, casing"
sling,"strap, cradle"
spear,"spearhead, shaft"
machine gun,"muzzle, trigger, bolt, stock, barrel"
,
drones has 14 concepts,
amphibious,"waterproof body, landing gear, rotor, frame"
surveillance and reconnaissance,"tail boom, rotor blades, landing gear, trim tabs, fuselage, infrared sensor, camera, vertical fin, wing, gps antenna"
agricultural,"camera, landing gear, frame, spray nozzles, rotor, led lights"
delivery,"propeller, frame, camera, led lights, landing gear, battery pack, parcel container"
combat,"vertical fin, nose cone, payload bay, camera, fuselage, antennas, wing, landing gear, tail boom, rotor blade, trim tabs"
racing,"frame, rotor, camera, flight controller, electronic speed controllers"
hybrid,"rotor blades, landing gear, propulsion system, frame"
firefighting,"water tank, attached water hose, fire department markings, camera, rotor blades, water cannon, frame"
photography and videography,"monitor with screen, battery, camera, landing gear, frame, rotor, remote controller"
surveying and mapping,"landing gear, propellers, camera, gps module, sensor array, lidar sensor, onboard pc"
environmental monitoring,"camera, landing gear, sensor array, rotor, frame"
police,"camera, landing gear, led lights, frame, rotor, police markings"
recreational,"battery, camera, frame, landing gear, rotor, remote controller"
inspection,"cameras, landing gear"
,
ships has 15 concepts,
submarine,"deck, bridge, periscope, hull, propeller, conning tower"
battle cruiser,"hull, turret, funnels, radar mast, bow"
cruiser,"bridge, deck, turret, hull"
cruise ship,"lifeboat, deck, bridge, hull"
battle ship,"radar system, conning tower, bridge, turret"
ice breaker,"bow, bridge, hull"
corvette,"hull, helicopter pad, bridge, turret, radar mast, bow"
destroyer,"radar mast, bridge, turret"
aircraft carrier,"catapult, bridge, flight deck"
clipper,"bow, sail, hull, mast"
amphibious,"radar mast, hull, turret, well deck, conning tower"
container ship,"bridge, cargo, hull"
ocean liner,"bow, stern, funnels, hull"
oil tanker,"anchor, deck, bridge, stern, hull"
coastal defense,"turret, radar system, communications mast"
,
geometry has 8 concepts,
parallel lines,"parallel line 2, parallel line 1"
intersecting lines,"line 2, intersection point, line 1"
ray,vertex
angle,"vertex, ray"
perpendicular lines,"intersection point, perpendicular line 1, perpendicular line 2"
cone,circular base
cylinder,"circular bottom, circular top"
circular sector,"radius, arc"
,
airplanes has 15 concepts,
attack,"bomb, bomb racks, propulsion component, wings"
fighters,"tail fin, afterburner, propulsion component, wings"
fire fighter,"wings, propulsion component, fire retardant"
transport,"propulsion component, openable nose, wings"
marine patrol,"wings, propulsion component"
agricultural,"propulsion component, landing gear, spraying rig, wings, cockpit"
reconnaissance,"propulsion component, wings"
tankers,"propulsion component, wings, refueling boom"
bombers,"wings, propulsion component"
business jets,"row of windows, propulsion component, wings"
narrow body single aisle aircraft,"row of windows, propulsion component, wings"
regional jets,"wings, row of windows, propulsion component"
wide body twin aisle aircraft,"propulsion component, row of windows, wings"
private,"cockpit, propulsion component, wings"
ultralight,"glider wings, fixed landing gear"
,
